Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
220000000,3,940,224,627,0.5,657.0917043,136.720336,-0.1107060246,0.4934539034,6.72E-05,388362.0549,6.80E-05,1.97E-05,no
220000000,3,940,224,627,0.5,678.8558346,139.9158832,-0.05231924328,0.5087525588,6.94E-05,400573.2474,7.02E-05,2.03E-05,no
220000000,3,940,224,627,0.5,684.0915349,141.089662,0.007242321047,0.5129482691,6.99E-05,403709.0004,7.07E-05,2.05E-05,no
220000000,3,940,224,627,0.5,682.0224166,137.5749545,0.06664127793,0.5058483579,6.97E-05,400977.1874,6.98E-05,2.02E-05,no
220000000,3,940,224,627,0.5,658.7962382,131.4382789,0.1245436152,0.4876722135,6.73E-05,386611.7989,6.72E-05,1.95E-05,no
220000000,3,940,224,627,0.5,625.3485567,122.4096581,0.1796490099,0.4588295826,6.39E-05,365830.8292,6.32E-05,1.84E-05,no
220000000,3,940,224,627,0.5,567.4504048,110.0490385,0.2307199499,0.4199144929,5.80E-05,331457.6533,5.77E-05,1.68E-05,no
220000000,3,940,224,627,0.5,-2686.808527,96.09899975,0.2766094397,0.3719060216,5.19E-05,-1267470.415,5.09E-05,1.49E-05,yes
220000000,3,940,224,627,0.5,-5173.312939,79.29669551,0.3162868834,0.3158278138,9.79E-05,-2492180.158,4.31E-05,1.26E-05,yes
220000000,3,940,224,627,0.5,-3544.753357,60.44575447,0.3488649388,0.2519458133,6.57E-05,-1704651.469,3.42E-05,1.01E-05,yes
220000000,3,940,224,627,0.5,2981.568509,39.90055844,0.3736036427,0.1834492157,-5.42E-05,1478213.83,2.44E-05,7.36E-06,yes
220000000,3,940,224,627,0.5,2174.29055,19.61438774,0.3899489165,0.1121040369,-3.87E-05,1073339.011,1.41E-05,4.50E-06,yes
220000000,3,940,224,627,0.5,-640.2508477,0.05952116876,0.3975427175,0.03786174989,1.12E-05,-313205.15,3.74E-06,1.54E-06,yes
220000000,3,940,224,627,0.5,-1506.165609,-19.31782942,0.3963578193,-0.06157297085,2.58E-05,-746322.6213,-6.87E-06,-2.44E-06,yes
220000000,3,940,224,627,0.5,745.1296892,-44.32772616,0.3860563918,-0.1363483525,-1.25E-05,342858.1033,-1.75E-05,-5.45E-06,yes
220000000,3,940,224,627,0.5,2613.997862,-64.67987397,0.3671175524,-0.2073104795,-4.32E-05,1247220.151,-2.75E-05,-8.28E-06,yes
220000000,3,940,224,627,0.5,4421.441806,-82.71294203,0.3399478762,-0.2733155127,-7.17E-05,2122665.785,-3.69E-05,-1.09E-05,yes
220000000,3,940,224,627,0.5,3563.658041,-99.31816788,0.3051549725,-0.3333639802,-5.68E-05,1694882.521,-4.56E-05,-1.33E-05,yes
